PII_uM,Kp_uM,Kq_uM,gain_R_over_H,max_absolute_GS_fraction_difference
5.000000000000000000e-01,1.815826968115054285e+00,3.369262490618652461e-01,7.344298217425606623e-01,2.692360235658997070e-03
5.000000000000000000e-01,1.815826968115054285e+00,3.695925895870819655e-01,7.344298217425606623e-01,2.661020114289702754e-03
5.000000000000000000e-01,1.815826968115054285e+00,4.054260618103502356e-01,7.344298217425606623e-01,2.631142650420970064e-03
5.000000000000000000e-01,1.815826968115054285e+00,4.447337317522747635e-01,7.344298217425607733e-01,2.602929082441529651e-03
5.000000000000000000e-01,1.815826968115054285e+00,4.878524367060187439e-01,7.344298217425608843e-01,2.576117405759026369e-03
5.000000000000000000e-01,1.815826968115054285e+00,5.351516716806418161e-01,7.344298217425607733e-01,2.550707577772093337e-03
5.000000000000000000e-01,1.815826968115054285e+00,5.870367556966068490e-01,7.344298217425606623e-01,2.526897735483091267e-03
5.000000000000000000e-01,1.815826968115054285e+00,6.439523050662339099e-01,7.344298217425606623e-01,2.504290655591656645e-03
5.000000000000000000e-01,1.815826968115054285e+00,7.063860434225154306e-01,7.344298217425607733e-01,2.483296287678959935e-03
5.000000000000000000e-01,1.815826968115054285e+00,7.748729811453863858e-01,7.344298217425606623e-01,2.463403974171440858e-03
5.000000000000000000e-01,1.815826968115054285e+00,8.499999999999999778e-01,7.344298217425607733e-01,2.444983224312302639e-03
5.000000000000000000e-01,2.500000000000000000e+00,2.800000000000000266e-01,7.330900675393462462e-01,2.039422479661490151e-03
5.000000000000000000e-01,2.500000000000000000e+00,3.071471141608240196e-01,7.330900675393462462e-01,2.013952060016532819e-03
5.000000000000000000e-01,2.500000000000000000e+00,3.369262490618652461e-01,7.330900675393462462e-01,1.989582868677675087e-03
5.000000000000000000e-01,2.500000000000000000e+00,3.695925895870819655e-01,7.330900675393463573e-01,1.966309303156221766e-03
5.000000000000000000e-01,2.500000000000000000e+00,4.054260618103502356e-01,7.330900675393463573e-01,1.944111711913443230e-03
5.000000000000000000e-01,2.500000000000000000e+00,4.447337317522747635e-01,7.330900675393463573e-01,1.923154437903029645e-03
5.000000000000000000e-01,2.500000000000000000e+00,4.878524367060187439e-01,7.330900675393464683e-01,1.903255064645281713e-03
5.000000000000000000e-01,2.500000000000000000e+00,5.351516716806418161e-01,7.330900675393463573e-01,1.884371820978114620e-03
5.000000000000000000e-01,2.500000000000000000e+00,5.870367556966068490e-01,7.330900675393463573e-01,1.866707112153975778e-03
5.000000000000000000e-01,2.500000000000000000e+00,6.439523050662339099e-01,7.330900675393461352e-01,1.849938144631302350e-03
5.000000000000000000e-01,2.500000000000000000e+00,7.063860434225154306e-01,7.330900675393463573e-01,1.834340416819180142e-03
5.000000000000000000e-01,2.500000000000000000e+00,7.748729811453863858e-01,7.330900675393462462e-01,1.819563099194732025e-03
5.000000000000000000e-01,2.500000000000000000e+00,8.499999999999999778e-01,7.330900675393463573e-01,1.805907683396945629e-03
5.000000000000000000e+00,1.499999999999999944e-02,2.800000000000000266e-01,9.885455863805542309e-01,3.735358260851595613e-02
5.000000000000000000e+00,1.499999999999999944e-02,3.071471141608240196e-01,9.885455863805543419e-01,3.730311368374003567e-02
5.000000000000000000e+00,1.499999999999999944e-02,3.369262490618652461e-01,9.885455863805543419e-01,3.724852691210728262e-02
5.000000000000000000e+00,1.499999999999999944e-02,3.695925895870819655e-01,9.885455863805543419e-01,3.718956066533007920e-02
5.000000000000000000e+00,1.499999999999999944e-02,4.054260618103502356e-01,9.885455863805543419e-01,3.712595029013759929e-02
5.000000000000000000e+00,1.499999999999999944e-02,4.447337317522747635e-01,9.885455863805542309e-01,3.705743085650806123e-02
5.000000000000000000e+00,1.499999999999999944e-02,4.878524367060187439e-01,9.885455863805543419e-01,3.698374042528707051e-02
5.000000000000000000e+00,1.499999999999999944e-02,5.351516716806418161e-01,9.885455863805543419e-01,3.690462386087209334e-02
