# Re F(i omega) of the auxiliary chain at the identical-independent steady state (companion manuscript); omega in units of the mean exit rate
n,omega,ReF
2,130.93533273536096,0.00023617691528032836
2,137.1272434398401,0.00021533411206497988
2,143.61196859990804,0.00019633033730925842
2,150.40335536380252,0.000179003389245036
2,157.51590570916244,0.00016320536184033507
2,164.96480740980206,0.00014880138659578712
2,172.76596646690382,0.00013566848477764015
2,180.93604107387165,0.0001236945204547979
2,189.49247718738235,0.00011277724551650437
2,198.45354578058033,0.00010282342863354721
2,207.83838185797595,9.374806080730824e-05
2,217.6670253153459,8.547363080013692e-05
2,227.96046373189822,7.79294643161732e-05
2,238.7406771860647,7.105112134586644e-05
2,250.03068519063265,6.477984656283464e-05
2,261.8545958474233,5.906206811567838e-05
2,274.23765732649525,5.384894056736922e-05
2,287.2063117797828,4.909592809221319e-05
2,300.7882518043102,4.4762424402766676e-05
2,315.0124795755328,4.0811406164742436e-05
2,329.90936877709424,3.7209116959258104e-05
2,345.5107294592218,3.392477910590941e-05
2,361.84987596427504,3.093033088685804e-05
2,378.9616980644716,2.820018694171811e-05
2,396.8827354637166,2.5711019788654532e-05
2,415.6512558225988,2.3441560613735035e-05
2,435.3073364731892,2.1372417627230078e-05
2,455.89294999810596,1.94859104433176e-05
2,477.45205385661313,1.776591906466063e-05
2,500.030684249109,1.619774619265879e-05
2,523.6770544204655,1.4767991680986192e-05
2,548.4416576121015,1.3464438065824424e-05
2,574.3773748826587,1.2275946196793619e-05
2,601.5395880274832,1.1192360073519758e-05
2,629.9862978380693,1.02044200807061e-05
2,659.7782479539546,9.303683879524627e-06
2,690.9790545715645,8.482454277536355e-06
2,723.6553422869665,7.733713464741498e-06
2,757.876886362593,7.051063052543327e-06
2,793.7167617217559,6.428669405034171e-06
2,831.2514989890632,5.861213792868192e-06
2,870.5612479099874,5.343846948835385e-06
2,911.7299484984921,4.872147630452517e-06
2,954.8455102782303,4.44208484240427e-06
2,1000.0,4.049983392429013e-06
3,0.001,0.9917352933374048
3,0.0010472898382363584,0.9917352697285691
3,0.001096816005273138,0.9917352438340215
3,0.0011486842567375536,0.9917352154324687
3,0.0012030053494233243,0.9917351842811929
3,0.0012598952777950272,0.9917351501139773
3,0.001319475521676706,0.9917351126388311
3,0.0013818733056536322,0.9917350715354941
3,0.0014472218707411344,0.9917350264527003
3,0.0015156607589006028,0.9917349770051751
3,0.0015873361110102086,0.9917349227703437
3,0.001662400978926612,0.9917348632847195
3,0.0017410156523040153,0.9917347980399429
3,0.0018233480008684403,0.9917347264784376
3,0.0019095738328780967,0.9917346479886451
3,0.001999877270535287,0.9917345618997987
3,0.0020944511431514688,0.9917344674761912
3,0.00219349739890506,0.991734363910888
3,0.0022972275360711512,0.9917342503188307
3,0.002405863054644067,0.9917341257292741
3,0.0025196359293170162,0.9917339890774903
