model,G_mM,GS_fraction,AT_capacity,AR_capacity,E,EG,EP,EU,EGP,EPU
reference,6.804716432245226,0.9967432772452905,9.173422429196462,0.029972907012016922,0.013697790786076199,0.005974973208171152,0.23106559590562956,0.029972907012016922,0.5928868240518751,0.1264019090362311
reference,6.898836882955015,0.9967915194375275,9.221079369281844,0.029680884462230713,0.0135797124220409,0.00600539877673706,0.22921454068627553,0.029680884462230713,0.596272144568654,0.12524731908406195
reference,6.994259174723138,0.9968389364973803,9.268549224469194,0.029391380696514407,0.013462138131847599,0.006035748919234953,0.22736611989990577,0.029391380696514407,0.5996446342877514,0.124099978064746
reference,7.091001314158441,0.9968855467836978,9.315829461627052,0.029104359194388956,0.013345072457278296,0.00606602091872436,0.22552059906707664,0.029104359194388956,0.6030040966645699,0.12295985169796184
reference,7.189081556930892,0.9969313681068019,9.362917578430805,0.028819784805365324,0.013228519927904058,0.00609621209225563,0.22367823804473266,0.028819784805365324,0.6063503377881543,0.12182690734158803
reference,7.288518411216458,0.9969764177484789,9.409811104377367,0.02853762369787617,0.013112485056067377,0.0061263197915351125,0.22183929108550185,0.02853762369787617,0.6096831664433965,0.12070111392562294
reference,7.389330641189705,0.9970207124811619,9.456507601779192,0.02825784330966094,0.01299697233202222,0.006156341403570936,0.22000400689637867,0.02825784330966094,0.6130023941719163,0.11958244188645098
reference,7.4915372705647,0.9970642685863484,9.503004666736487,0.02798041229957068,0.012881986219229848,0.006186274351298798,0.21817262869681106,0.02798041229957068,0.616307835331536,0.11847086310155365
reference,7.595157586184829,0.9971071018722768,9.549299930086438,0.02770530050076038,0.012767531149808735,0.0062161160941872394,0.2163453942762131,0.02770530050076038,0.6195993071542715,0.11736635082475912
reference,7.70021114166233,0.9971492276908978,9.59539105832849,0.02743247887523693,0.012653611520136743,0.006245864128822036,0.2145225360509194,0.02743247887523693,0.6228766298027708,0.11626887962211406
reference,7.806717761068168,0.9971906609541694,9.641275754524715,0.027161919469731243,0.012540231686603702,0.006275515989469164,0.21270428112060413,0.027161919469731243,0.6261396264251345,0.1151784253084571
reference,7.914697542672883,0.9972314161497047,9.68695175917429,0.026893595372865096,0.012427395961512917,0.006305069248615974,0.21089085132418817,0.026893595372865096,0.6293881232080484,0.11409496488476946
reference,8.024170862739247,0.9972715073557977,9.732416851061314,0.026627480673582546,0.012315108609129757,0.006334521517490272,0.2090824632952536,0.026627480673582546,0.6326219494281756,0.11301847647636808
reference,8.135158379367347,0.9973109482558563,9.77766884807515,0.02636355042081724,0.012203373841875689,0.006363870446556878,0.20727932851699243,0.02636355042081724,0.6358409375017526,0.11194893927200517
reference,8.247681036392883,0.9973497521522642,9.822705608002565,0.026101780584367427,0.012092195816666061,0.006393113725991412,0.20548165337671032,0.026101780584367427,0.6390449230323338,0.11088633346393097
reference,8.361760067339327,0.9973879319796981,9.867525029291,0.02584214801695135,0.011981578631390146,0.0064222490861310455,0.20368963921991215,0.02584214801695135,0.6422337448566424,0.10983064018897289
reference,8.477416999424792,0.9974255003179211,9.91212505178242,0.02558463041741573,0.011871526321531583,0.006451274297901969,0.20190348240399072,0.02558463041741573,0.6454072450884824,0.10878184147067764
reference,8.59467365762435,0.9974624694040758,9.956503657417102,0.02532920629507121,0.011762042856927678,0.006480187173223396,0.20012337435154348,0.02532920629507121,0.6485652691606739,0.1077399201625604
reference,8.713552168788443,0.9974988511444959,10.000658870906964,0.025075854935128986,0.01165313213866592,0.006508985565387867,0.19834950160334258,0.025075854935128986,0.6517076658649744,0.1067048598925002
