G_mM,total_log_ratio_sensitivity,via_PII,direct_glutamine
4.776833579794814710e-02,1.046411346017350752e+00,5.365661920833142418e-02,9.927547267662728547e-01
4.842905066236988243e-02,1.048641605017053280e+00,5.625102185788446313e-02,9.923905831595575266e-01
4.909890430302856629e-02,1.050995296836276793e+00,5.898895083546382839e-02,9.920063459561652142e-01
4.977802312427133391e-02,1.053479787449518312e+00,6.187891904203853682e-02,9.916008683758947839e-01
5.046653527882597606e-02,1.056102891361376805e+00,6.492995265749861022e-02,9.911729386869436720e-01
5.116457069198386554e-02,1.058872897896634413e+00,6.815162107392708224e-02,9.907212767923818664e-01
5.187226108611734526e-02,1.061798598511742853e+00,7.155406783311030194e-02,9.902445306795460978e-01
5.258974000553651856e-02,1.064889315749439902e+00,7.514804301019896438e-02,9.897412727330877624e-01
5.331714284168943135e-02,1.068154933347997826e+00,7.894493746925926314e-02,9.892099959135454146e-01
5.405460685871123216e-02,1.071605928038010802e+00,8.295681821835423908e-02,9.886491098046454873e-01
5.480227121932643164e-02,1.075253402182951845e+00,8.719646564459758442e-02,9.880569365340829968e-01
5.556027701110943795e-02,1.079109118462540096e+00,9.167741187461157792e-02,9.874317065742962418e-01
5.632876727310860004e-02,1.083185535355468687e+00,9.641398092792065333e-02,9.867715544317996468e-01
5.710788702283819962e-02,1.087495844354080532e+00,1.014213301379624926e-01,9.860745142359784721e-01
5.789778328364381804e-02,1.092054008333676052e+00,1.067154930824852077e-01,9.853385152408820069e-01
5.869860511244646278e-02,1.096874800898817170e+00,1.123134236047267781e-01,9.845613772565734445e-01
5.951050362787019266e-02,1.101973847461579226e+00,1.182330414378999772e-01,9.837408060299863699e-01
6.033363203875877906e-02,1.107367667296799141e+00,1.244932786811037140e-01,9.828743885990417484e-01
6.116814567308705847e-02,1.113073715686141441e+00,1.311141269923509489e-01,9.819595886480635416e-01
6.201420200727193049e-02,1.119110427882930026e+00,1.381166859904195687e-01,9.809937418972834999e-01
6.287196069588876779e-02,1.125497263387842395e+00,1.455232118438752054e-01,9.799740515645324335e-01
6.374158360179914273e-02,1.132254750313421710e+00,1.533571663696396414e-01,9.788975839430532622e-01
6.462323482669482533e-02,1.139404529704179936e+00,1.616432655373548077e-01,9.777612641458460763e-01
6.551708074206472054e-02,1.146969400034336672e+00,1.704075279357565031e-01,9.765618720740171232e-01
6.642329002058981746e-02,1.154973360728561715e+00,1.796773220488579736e-01,9.752960386743276811e-01
6.734203366797232582e-02,1.163441655105401651e+00,1.894814125600401411e-01,9.739602425595459412e-01
6.827348505520548783e-02,1.172400810700580109e+00,1.998500036074695729e-01,9.725508070742339140e-01
6.921781995128928333e-02,1.181878678391257154e+00,2.108147804863919339e-01,9.710638978983617831e-01
7.017521655639873124e-02,1.191904468100801751e+00,2.224089467673773524e-01,9.694955212914876386e-01
7.114585553551130981e-02,1.202508781306121932e+00,2.346672581412072023e-01,9.678415230911947553e-01
7.212992005249903305e-02,1.213723638660013648e+00,2.476260500531625441e-01,9.660975885910310090e-01
7.312759580469227472e-02,1.225582502639710469e+00,2.613232591640187730e-01,9.642592434351148212e-01
7.413907105792189034e-02,1.238120293090005930e+00,2.757984373678957768e-01,9.623218556788328826e-01
7.516453668204547967e-02,1.251373396593535858e+00,2.910927573724244599e-01,9.602806391775275952e-01
7.620418618696571389e-02,1.265379665049692903e+00,3.072490065285171656e-01,9.581306584773847668e-01
7.725821575914633421e-02,1.280178405904663919e+00,3.243115704660909371e-01,9.558668353948194252e-01
