PII_uM,bound_fraction_reference,bound_fraction_tradeoff
9.404448517263522961e-03,9.441394572173952837e-02,4.316391680255374230e-02
9.697653591082495972e-03,9.707177770766362013e-02,4.444983247007706917e-02
1.000000000000000021e-02,9.979618466316553249e-02,4.577222482596221553e-02
1.031177274593055374e-02,1.025883670350469651e-01,4.713201814973004555e-02
1.063326571637161592e-02,1.054495202696176526e-01,4.853015349093499353e-02
1.096478196143185063e-02,1.083808329872217174e-01,4.996758855603727900e-02
1.130663397949639194e-02,1.113834850666017146e-01,5.144529756226895456e-02
1.165914401179831729e-02,1.144586456385539158e-01,5.296427105646840661e-02
1.202264434617413176e-02,1.176074709886334030e-01,5.452551569679776888e-02
1.239747763028944787e-02,1.208311023689948305e-01,5.613005399519688243e-02
1.278399719463023734e-02,1.241306637198154872e-01,5.777892401837290970e-02
1.318256738556407466e-02,1.275072593011291333e-01,5.947317904506955327e-02
1.359356390878525486e-02,1.309619712363142285e-01,6.121388717731246487e-02
1.401737418346770195e-02,1.344958569689213290e-01,6.300213090328249388e-02
1.445439770745927943e-02,1.381099466349914595e-01,6.483900660942887306e-02
1.490504643386196190e-02,1.418052403535154382e-01,6.672562403940229814e-02
1.536974515935271741e-02,1.455827054382047292e-01,6.866310569736100433e-02
1.584893192461114125e-02,1.494432735342921259e-01,7.065258619318497135e-02
1.634305842723137586e-02,1.533878376846538882e-01,7.269521152712328516e-02
1.685259044750751778e-02,1.574172493301361497e-01,7.479213831139962243e-02
1.737800828749375484e-02,1.615323152495846681e-01,7.694453292630988595e-02
1.791980722375334165e-02,1.657337944457079881e-01,7.915357060836956948e-02
1.847849797422291759e-02,1.700223949835507897e-01,8.142043446809973939e-02
1.905460717963247327e-02,1.743987707890135574e-01,8.374631443509064632e-02
1.964867789993467867e-02,1.788635184155216162e-01,8.613240612804208551e-02
2.026127012621143156e-02,1.834171737876161279e-01,8.857990964755897700e-02
2.089296130854039618e-02,1.880602089309141578e-01,9.109002828957482589e-02
2.154434690031884619e-02,1.927930286985471975e-01,9.366396717738810496e-02
2.221604091955811655e-02,1.976159675048465847e-01,9.630293181043000916e-02
2.290867652767773419e-02,2.025292860776838622e-01,9.900812652803291092e-02
2.362290662634462801e-02,2.075331682414910395e-01,1.017807528866424699e-01
2.435940447292027008e-02,2.126277177435800247e-01,1.046220079491138599e-01
2.511886431509580825e-02,2.178129551369365202e-01,1.075330824849511369e-01
2.590200204531323963e-02,2.230888147331772930e-01,1.105151590805916878e-01
2.670955587558985350e-02,2.284551416398317436e-01,1.135694101591099431e-01
2.754228703338167453e-02,2.339116888965190877e-01,1.166969959090064929e-01
2.840098047914215232e-02,2.394581147249464914e-01,1.198990621220739072e-01
2.928644564625237229e-02,2.450939799079334402e-01,1.231767379406780438e-01
3.019951720402017786e-02,2.508187453128767341e-01,1.265311335151716177e-01
3.114105584446759736e-02,2.566317695751935135e-01,1.299633375725615936e-01
3.211194909364823574e-02,2.625323069573147206e-01,1.334744148979865319e-01
3.311311214825911342e-02,2.685195053987416980e-01,1.370654037310176099e-01
3.414548873833602588e-02,2.745924047725181172e-01,1.407373130792890503e-01
3.521005201684521135e-02,2.807499353632002537e-01,1.444911199524756273e-01
3.630780547701013827e-02,2.869909165810374807e-01,1.483277665201767070e-01
3.743978389823812702e-02,2.933140559265764447e-01,1.522481571978315795e-01
3.860705432153813121e-02,2.997179482193024214e-01,1.562531556653762033e-01
3.981071705534973415e-02,3.062010751032033795e-01,1.603435818239639654e-01
4.105190671273080405e-02,3.127618048412962870e-01,1.645202086966950639e-01
4.233179328088208793e-02,3.193983924101994609e-01,1.687837592799472930e-01
4.365158322401661156e-02,3.261089799047501847e-01,1.731349033525529657e-01
4.501252062061338738e-02,3.328915972614763241e-01,1.775742542507317834e-01
4.641588833612779463e-02,3.397441633084331558e-01,1.821023656173634819e-01
4.786300923226385201e-02,3.466644871475060841e-01,1.867197281348513815e-01
4.935524741394806125e-02,3.536502698737814532e-01,1.914267662514976542e-01
5.089400951518090882e-02,3.606991066349979902e-01,1.962238349119728720e-01
5.248074602497728586e-02,3.678084890324199718e-01,2.011112163031032740e-01
5.411695265464637472e-02,3.749758078627370428e-01,2.060891166268292440e-01
5.580417174769966571e-02,3.821983561988056555e-01,2.111576629127869253e-01
5.754399373371569398e-02,3.894733328052017440e-01,2.163168998835293400e-01
5.933805862753280952e-02,3.967978458827020605e-01,2.215667868859381162e-01
6.118805757518222532e-02,4.041689171339168385e-01,2.269071949028524660e-01
6.309573444801933051e-02,4.115834861404313871e-01,2.323379036593785085e-01
6.506288748655573995e-02,4.190384150399440455e-01,2.378585988387068029e-01
6.709137099554116079e-02,4.265304934900621681e-01,2.434688694225713990e-01
6.918309709189365830e-02,4.340564439036433408e-01,2.491682051717143964e-01
