# Fig 8c
Khat2,factor_linear,factor_complementary
71517985762.95236,1.2608631222891025,1.259355045845369
81600817702.85216,1.2608629237985978,1.2593548468358382
93105159195.12222,1.260862749834041,1.2593546724162352
106231419154.59007,1.2608625973650562,1.2593545195486484
121208260779.0603,1.2608624637352575,1.259354385569418
138296584927.5278,1.2608623466172195,1.2593542681450633
157794075087.66983,1.260862243970586,1.2593541652301323
180040383107.2279,1.2608621540072076,1.2593540750313696
205423046026.20685,1.2608620751599227,1.2593539959778954
234384237082.8155,1.260862006055268,1.2593539266925258
267428468497.5636,1.2608619454892416,1.2593538659680326
305131380220.2634,1.2608618924070822,1.2593538127470463
348149767742.3616,1.2608618458837564,1.2593537661022418
397233023662.0186,1.2608618051091023,1.2593537252208322
453236192317.2161,1.2608617693725432,1.259353689390752
517134864902.34204,1.2608617380518312,1.2593536579882056
590042174545.4849,1.260861710601076,1.2593536304656385
673228187405.4414,1.2608616865422746,1.2593536063439879
768142027587.0082,1.2608616654561904,1.2593535852027535
876437121296.7959,1.2608616469757281,1.2593535666737623
1000000000000.0,1.260861630778623,1.2593535504342859
