G_mM,U,p0,p1,p2,p3,variance
1.743448334653954074e-02,2.965416145245921342e+00,1.531991767607722634e-06,3.940850279142465084e-04,3.379108872294734472e-02,9.658132942573708357e-01,3.418517375086160826e-02
1.768953892154771085e-02,2.965348046349012723e+00,1.541059511620587513e-06,3.956294520751924828e-04,3.385607156830192088e-02,9.657467579201112207e-01,3.425170102037711217e-02
1.794832579991886487e-02,2.965277926026611777e+00,1.550433736533503696e-06,3.972228391282166997e-04,3.392297699392229915e-02,9.656782497332129234e-01,3.432019983304890332e-02
1.821089856828490491e-02,2.965205724393428444e+00,1.560125852318929156e-06,3.988668274384044141e-04,3.399186157413812415e-02,9.656077114725711841e-01,3.439072840157564315e-02
1.847731261184596546e-02,2.965131379797170119e+00,1.570147753557945806e-06,4.005631150223889049e-04,3.406278352952431948e-02,9.655350832076997625e-01,3.446334664454830943e-02
1.874762412605298495e-02,2.965054828766837680e+00,1.580511843236359274e-06,4.023134619753052955e-04,3.413580277368211124e-02,9.654603032524993189e-01,3.453811623565705702e-02
1.902189012846117189e-02,2.964976005959527150e+00,1.591231057871094412e-06,4.041196930087485699e-04,3.421098096128184773e-02,9.653833081146515616e-01,3.461510065429074245e-02
1.930016847075688088e-02,2.964894844105704586e+00,1.602318894049819754e-06,4.059837001054426462e-04,3.428838153740226824e-02,9.653040324435981923e-01,3.469436523750779600e-02
1.958251785096037922e-02,2.964811273952914661e+00,1.613789436469674600e-06,4.079074452961957463e-04,3.436806978818342240e-02,9.652224089770838900e-01,3.477597723347969350e-02
1.986899782580723098e-02,2.964725224207869658e+00,1.625657387570447954e-06,4.098929635656435870e-04,3.445011289283634454e-02,9.651383684862104850e-01,3.486000585640169902e-02
2.015966882331076543e-02,2.964636621476882894e+00,1.637938098861217729e-06,4.119423658931697604e-04,3.453457997703418547e-02,9.650518397189737918e-01,3.494652234292772164e-02
2.045459215550831170e-02,2.964545390204596842e+00,1.650647604047447839e-06,4.140578424359568329e-04,3.462154216771910070e-02,9.649627493422409108e-01,3.503560001015593173e-02
2.075383003139389185e-02,2.964451452610964655e+00,1.663802654071497153e-06,4.162416658612800961e-04,3.471107264935045789e-02,9.648710218821341389e-01,3.512731431521132208e-02
