top,bottom,logmid,h
2.940431736104645921e+00,5.128810760488689002e-01,-5.533663617385888855e-01,2.060689924123647820e+00
2.956106330982367414e+00,5.323650569777805819e-01,-5.886194191176451485e-01,2.165090991097428752e+00
2.940283777333852822e+00,3.639396755646082116e-01,-5.678212469092498438e-01,1.732355176761382287e+00
2.874234641749643160e+00,5.058691611870759219e-01,-5.588864315406729677e-01,2.356220980825240563e+00
2.946030003649789286e+00,4.819758784548641706e-01,-6.111269528407143881e-01,2.105627331826847470e+00
2.928789607579030285e+00,4.934350963967356063e-01,-5.574918133671362686e-01,1.962566081387173700e+00
2.999710567385858617e+00,3.715261831795716452e-01,-5.497054353771164692e-01,1.678023567496172319e+00
2.945066567298565197e+00,4.256689866326559546e-01,-6.004211277263367119e-01,1.871678353272411499e+00
2.999998999999999416e+00,4.332674432897147820e-01,-5.774226384177246763e-01,1.876711337616558506e+00
2.862147692917130559e+00,5.080456970586494370e-01,-5.242132494522749875e-01,2.459996758594464872e+00
2.918685066663374794e+00,4.061148645511008515e-01,-5.100631496438360335e-01,2.099920811268611409e+00
2.972963176842756461e+00,3.965663472276015344e-01,-5.247820043101557586e-01,1.998433996583577121e+00
2.912498887326508523e+00,4.984839508940100417e-01,-6.019599774821881022e-01,2.206582117013625499e+00
2.899760770464581583e+00,3.803447979478339347e-01,-5.235700509312033457e-01,2.038119388349114214e+00
2.999998999999999416e+00,4.542811164167102622e-01,-5.639392998227440446e-01,2.093209932235474469e+00
2.999998999999999416e+00,3.521019168229259089e-01,-5.189247129812509796e-01,1.885446164374001476e+00
2.999998999999999416e+00,3.401255545384407331e-01,-5.219373355798033742e-01,1.788892663617743795e+00
2.933341280128556328e+00,4.198607500785079272e-01,-6.007344441498477794e-01,1.936324401374225568e+00
2.995418294003946436e+00,3.850689205809179616e-01,-5.613429485868078883e-01,1.972038999917902213e+00
2.999348910409275870e+00,4.465354375334782411e-01,-5.546572348531523255e-01,1.924516510286748527e+00
2.886470543643675501e+00,4.204863991343141261e-01,-5.022729304472123291e-01,1.968190275141377121e+00
2.999998999999999416e+00,4.031911901406490806e-01,-6.020188148343359469e-01,1.893882429953078095e+00
2.977591345177318161e+00,4.530728665752919437e-01,-5.721961452877121213e-01,1.739869626247086076e+00
2.927127700878834560e+00,4.227872196397559623e-01,-5.259456305870074955e-01,2.209358540366010537e+00
2.999998999999999416e+00,4.905047188941016323e-01,-6.084853525722409007e-01,2.034499855460726980e+00
2.937370859979512527e+00,3.956176434804798969e-01,-5.680522737866742222e-01,1.994377228990298789e+00
2.961824768086463777e+00,4.127414847489283556e-01,-5.589128615519134424e-01,1.886484517561985541e+00
2.990459586216295929e+00,3.808901725496638968e-01,-5.124740945058632313e-01,1.850007379935659335e+00
2.870957373445378824e+00,4.706301678899526553e-01,-5.551642042482038963e-01,2.256409409263401944e+00
2.967230470835974465e+00,3.929681857796753497e-01,-5.119515940355879868e-01,1.886218520344328464e+00
2.999998999999999416e+00,4.512312097640182040e-01,-6.036537362185691036e-01,2.046190508618942694e+00
2.965124725354019830e+00,4.270285376837490987e-01,-5.441736848796374648e-01,2.150668777935643039e+00
2.937739989170137456e+00,5.742580204695676427e-01,-5.997199981382728140e-01,2.626802758362910772e+00
2.965216388365056854e+00,3.861379313674425107e-01,-5.096940697347979166e-01,1.950419261400575976e+00
2.958617637363122999e+00,3.888569071662925647e-01,-5.610749723413134271e-01,2.010363267099916751e+00
2.980895136934346823e+00,4.727001917411446374e-01,-5.984488008726511765e-01,1.998855688186257362e+00
2.936393604011249270e+00,4.905953545379840852e-01,-5.435552841949142788e-01,1.979226055221325220e+00
2.892906564638054512e+00,4.779929834203612282e-01,-5.736105299182582273e-01,2.259057400381114356e+00
