draw,model,n_0p5,n_5,n_36
3.000000000000000000e+01,3.000000000000000000e+00,3.399475489343492196e+00,3.601737868388432684e+00,4.529392859684273631e+00
3.100000000000000000e+01,0.000000000000000000e+00,3.251039192881506779e+00,3.428209268474250671e+00,4.151882624452680304e+00
3.100000000000000000e+01,1.000000000000000000e+00,2.293385857231573510e+00,2.343230930984047333e+00,2.705523562382620817e+00
3.100000000000000000e+01,2.000000000000000000e+00,5.225536818354685309e+00,5.633679162050152733e+00,5.382580251596762011e+00
3.100000000000000000e+01,3.000000000000000000e+00,3.251039192882552165e+00,3.428209268474591287e+00,4.151882624452667869e+00
3.200000000000000000e+01,0.000000000000000000e+00,3.505789878782718194e+00,3.735966145033859043e+00,5.151333610386127582e+00
3.200000000000000000e+01,1.000000000000000000e+00,2.481869916021139488e+00,2.557685313250998682e+00,3.395707848795134876e+00
3.200000000000000000e+01,2.000000000000000000e+00,5.631857452907230055e+00,6.138334050934526331e+00,6.418856170201642009e+00
3.200000000000000000e+01,3.000000000000000000e+00,3.505789878783567737e+00,3.735966145033858155e+00,5.151333610386124029e+00
3.300000000000000000e+01,0.000000000000000000e+00,3.549049843035465113e+00,3.782482697304149433e+00,5.029377746487756262e+00
3.300000000000000000e+01,1.000000000000000000e+00,2.555050890574345868e+00,2.627013043199887488e+00,3.318922702692821414e+00
3.300000000000000000e+01,2.000000000000000000e+00,5.607544073613806468e+00,6.153891059510168127e+00,6.274206974659752412e+00
3.300000000000000000e+01,3.000000000000000000e+00,3.549049843035495311e+00,3.782482697303867436e+00,5.029377746487751821e+00
3.400000000000000000e+01,0.000000000000000000e+00,3.526344270508706469e+00,3.746591396248451833e+00,4.828702069436194400e+00
3.400000000000000000e+01,1.000000000000000000e+00,2.478961780696668615e+00,2.547726333174357816e+00,3.189285948807200288e+00
3.400000000000000000e+01,2.000000000000000000e+00,5.694317965060175624e+00,6.162570687506716105e+00,6.005934471269964270e+00
3.400000000000000000e+01,3.000000000000000000e+00,3.526344270508706469e+00,3.746591396248907913e+00,4.828702069436190847e+00
3.500000000000000000e+01,0.000000000000000000e+00,4.034470053586785454e+00,4.306508105868568137e+00,4.750588976600200297e+00
3.500000000000000000e+01,1.000000000000000000e+00,2.958762511965741471e+00,3.029475768662631019e+00,3.349806900601417059e+00
3.500000000000000000e+01,2.000000000000000000e+00,6.244303117541593728e+00,6.930208183991776849e+00,5.707840016976382991e+00
3.500000000000000000e+01,3.000000000000000000e+00,4.034470053586788119e+00,4.306508105868334546e+00,4.750588976599421365e+00
3.600000000000000000e+01,0.000000000000000000e+00,3.228996606437647632e+00,3.428683659364479830e+00,4.765612637565377341e+00
3.600000000000000000e+01,1.000000000000000000e+00,2.312887655578558466e+00,2.378990334890773273e+00,3.109330255686065581e+00
3.600000000000000000e+01,2.000000000000000000e+00,5.139620923323406920e+00,5.589042273840163055e+00,6.096957891883408642e+00
3.600000000000000000e+01,3.000000000000000000e+00,3.228996606437648964e+00,3.428683659365216130e+00,4.765612637565255660e+00
3.700000000000000000e+01,0.000000000000000000e+00,3.587094153736384960e+00,3.821491918374281038e+00,5.032140628428052764e+00
3.700000000000000000e+01,1.000000000000000000e+00,2.554136395759000422e+00,2.627515643454879868e+00,3.335497598299586919e+00
3.700000000000000000e+01,2.000000000000000000e+00,5.729634173671711572e+00,6.248903287217563829e+00,6.223062082501593650e+00
3.700000000000000000e+01,3.000000000000000000e+00,3.587094153736193114e+00,3.821491918373390195e+00,5.032140628428039442e+00
3.800000000000000000e+01,0.000000000000000000e+00,3.345274715093301321e+00,3.563023519087039404e+00,5.054221784351343949e+00
3.800000000000000000e+01,1.000000000000000000e+00,2.423680435377367992e+00,2.495769032412026966e+00,3.314424557497868129e+00
3.800000000000000000e+01,2.000000000000000000e+00,5.261376456588904738e+00,5.771845574912858545e+00,6.403524357303464143e+00
3.800000000000000000e+01,3.000000000000000000e+00,3.345274715093304430e+00,3.563023519085784852e+00,5.054221784351529578e+00
3.900000000000000000e+01,0.000000000000000000e+00,3.276049197209210728e+00,3.475782134944485069e+00,4.708616834404644180e+00
3.900000000000000000e+01,1.000000000000000000e+00,2.313059749675351995e+00,2.377678278684816959e+00,3.063445856845047999e+00
3.900000000000000000e+01,2.000000000000000000e+00,5.273404822169175610e+00,5.715790255333675240e+00,6.031386989975388246e+00
3.900000000000000000e+01,3.000000000000000000e+00,3.276049197208616981e+00,3.475782134944793267e+00,4.708616834404658391e+00
4.000000000000000000e+01,0.000000000000000000e+00,3.530862011153413249e+00,3.744829077136627493e+00,4.688372805464937620e+00
