strain,time_min,protein,estimator,theta,point_physically_admissible,theta_lo,theta_hi,p0_lo,p0_hi,pn_lo,pn_hi,point_pn_min,point_p0_max,source_row
delta_glnB,-68,GlnK,modified_over_total,0.5692847854208987,True,0.06823935702516479,1,0.0,0.9317606429748352,0.0,1.0,0,0.43071521457910134,27
delta_glnB,-68,GlnK,paired_peptide_fraction,0.6006085631736051,True,0.10437293653574863,0.9967749183292778,0.0,0.8956270634642514,0.0,0.9967749183292778,0,0.3993914368263949,27
delta_glnB,-68,GS,modified_over_total,0.25099488900466926,True,0,0.8033954696587053,0.0,1.0,0.0,0.8033954696587053,0,0.7490051109953307,27
delta_glnB,-68,GS,paired_peptide_fraction,0.2477226577380215,True,0,0.7339544606956088,0.0,1.0,0.0,0.7339544606956088,0,0.7522773422619785,27
delta_glnB,-47.333333333333336,GlnK,modified_over_total,0.7871418201728885,True,0.43433779045024673,1,0.0,0.5656622095497532,0.0,1.0,0.36142546051866553,0.21285817982711153,28
delta_glnB,-47.333333333333336,GlnK,paired_peptide_fraction,0.9023681538888323,True,0.7660763975498418,0.9915200909942682,0.0,0.2339236024501582,0.2982291926495255,0.9915200909942682,0.7071044616664968,0.09763184611116771,28
delta_glnB,-47.333333333333336,GS,modified_over_total,0.017737933871592115,True,0,0.06051737125470301,0.27379154494356384,1.0,0.0,0.06051737125470301,0,0.9822620661284078,28
delta_glnB,-47.333333333333336,GS,paired_peptide_fraction,0.016790228821673043,True,0,0.07225416482323913,0.1329500221211305,1.0,0.0,0.07225416482323913,0,0.983209771178327,28
delta_glnB,-22.333333333333332,GlnK,modified_over_total,0.7957209227654114,True,0.3331044140501239,1,0.0,0.6668955859498761,0.0,1.0,0.3871627682962342,0.2042790772345886,29
delta_glnB,-22.333333333333332,GlnK,paired_peptide_fraction,0.9212268329174841,True,0.7086702716324345,1,0.0,0.29132972836756554,0.12601081489730348,1.0,0.7636804987524521,0.07877316708251592,29
delta_glnB,-22.333333333333332,GS,modified_over_total,0.01282403657563509,True,0,0.10079145573837227,0.0,1.0,0.0,0.10079145573837227,0,0.9871759634243649,29
delta_glnB,-22.333333333333332,GS,paired_peptide_fraction,0.012222349185606532,True,0,0.1583889886585315,0.0,1.0,0.0,0.1583889886585315,0,0.9877776508143935,29
delta_glnB,-5,GlnK,modified_over_total,0.7893877300903503,True,0.5689617857293927,1,0.0,0.4310382142706073,0.0,1.0,0.36816319027105093,0.21061226990964965,30
delta_glnB,-5,GlnK,paired_peptide_fraction,0.9304287495905876,True,0.8377740724737284,1,0.0,0.16222592752627163,0.5133222174211851,1.0,0.7912862487717627,0.06957125040941237,30
delta_glnB,-5,GS,modified_over_total,0.011029899340277835,True,0,0.06415025308021777,0.2301969630373868,1.0,0.0,0.06415025308021777,0,0.9889701006597221,30
delta_glnB,-5,GS,paired_peptide_fraction,0.009683715602719608,True,0,0.07701319580067748,0.0758416503918703,1.0,0.0,0.07701319580067748,0,0.9903162843972804,30
delta_glnB,1,GlnK,modified_over_total,0.2849852244802348,True,0.06833160629203983,0.6381493381874171,0.0,0.9316683937079602,0.0,0.6381493381874171,0,0.7150147755197652,32
delta_glnB,1,GlnK,paired_peptide_fraction,0.263068037945519,True,0.07885851643653315,0.4441696241106404,0.0,0.9211414835634668,0.0,0.4441696241106404,0,0.736931962054481,32
delta_glnB,1,GS,modified_over_total,0.6012921855865444,True,0.3927818284936299,0.9479225176609026,0.0,0.60721817150637,0.0,0.9479225176609026,0,0.3987078144134556,32
delta_glnB,1,GS,paired_peptide_fraction,0.6268852099633326,True,0.5041427290201256,0.753205233181181,0.0,0.4958572709798744,0.0,0.753205233181181,0,0.37311479003666737,32
delta_glnB,2,GlnK,modified_over_total,0.25185733116675574,True,0.11758903226022145,0.4234315974806055,0.0,0.8824109677397786,0.0,0.4234315974806055,0,0.7481426688332442,33
delta_glnB,2,GlnK,paired_peptide_fraction,0.24476425263079535,True,0.11845474538643831,0.3937619414550636,0.0,0.8815452546135617,0.0,0.3937619414550636,0,0.7552357473692046,33
