# S5 Fig B: parameters in results/counterexamples_parameters.json (condition_i)
l,R
0.0003153862360384208,-0.3460305764687895
0.00031664425778387095,-0.3449215008246356
0.0003179072975628659,-0.34381182181475745
0.0003191753753914835,-0.342701547196101
0.00032044851136564154,-0.34159068474426346
0.0003217267256614173,-0.34047924225331505
0.00032301003853536694,-0.339367227535627
0.00032429847032484644,-0.3382546484216912
0.00032559204144833476,-0.33714151275994364
0.00032689077240575555,-0.3360278284165872
0.00032819468377880427,-0.33491360327541086
0.0003295037962312725,-0.3337988452376117
0.00033081813050937623,-0.3326835622216101
0.00033213770744208477,-0.3315677621628754
0.0003334625479414501,-0.3304514530137346
0.00033479267300294,-0.32933464274319624
0.00033612810370576803,-0.3282173393367631
0.0003374688612132306,-0.32709955079624864
0.00033881496677303993,-0.32598128513959257
