# S2 Fig: sup over the input of the ladder factor nu for the three-site ladder c = (1, 3a, 3b, 1); a = b = 1 is the binomial ladder (nu = 1); the bound nu <= 3 is approached as a, b -> 0
log10_a,log10_b,nu_sup
0.20000000000000018,-2.5,1.9917574539966634
0.30000000000000027,-2.5,1.9871111046715313
0.40000000000000036,-2.5,1.9846643478114605
0.5,-2.5,1.983629400042867
0.6000000000000001,-2.5,1.9834237067475133
0.7000000000000002,-2.5,1.9836337558290673
0.8000000000000003,-2.5,1.9842561954852618
0.9000000000000004,-2.5,1.9849468898304512
1.0,-2.5,1.985803319540595
1.1000000000000005,-2.5,1.9866477733035297
1.2000000000000002,-2.5,1.9874876717543748
1.2999999999999998,-2.5,1.9883429107119062
1.4000000000000004,-2.5,1.9891256041689296
1.5,-2.5,1.9898894314538222
1.6000000000000005,-2.5,1.9906194977533775
1.7000000000000002,-2.5,1.9912771350931926
1.8000000000000007,-2.5,1.991913771716925
1.9000000000000004,-2.5,1.992510165732784
2.0,-2.5,1.9930442151054373
2.1000000000000005,-2.5,1.9935589353609793
2.2,-2.5,1.9940381539079444
2.3000000000000007,-2.5,1.9944662482466955
2.4000000000000004,-2.5,1.9948776807449924
2.5,-2.5,1.9952602452162258
2.6000000000000005,-2.5,1.9956016430638415
2.7,-2.5,1.9959290944765846
2.8000000000000007,-2.5,1.9962336887587275
2.9000000000000004,-2.5,1.9965053750327992
3.0,-2.5,1.9967655700127505
-3.0,-2.4,2.980596853572743
-2.9,-2.4,2.979500010772434
-2.8,-2.4,2.978120349828896
-2.7,-2.4,2.9763853306608326
-2.6,-2.4,2.9742786650325486
-2.5,-2.4,2.9717295167569326
-2.4,-2.4,2.9685273114454254
-2.3,-2.4,2.964506994449176
-2.2,-2.4,2.9594630916952305
-2.1,-2.4,2.9533184069569267
-2.0,-2.4,2.9457609844026953
-1.9,-2.4,2.936316821431411
-1.7999999999999998,-2.4,2.9245367335353327
-1.7,-2.4,2.9098766862213545
-1.5999999999999999,-2.4,2.891871301893707
-1.5,-2.4,2.8700124087178125
-1.4,-2.4,2.8431721337649423
-1.2999999999999998,-2.4,2.8104034057817677
-1.2,-2.4,2.770669174540634
-1.0999999999999999,-2.4,2.7234622501902352
-1.0,-2.4,2.6684846780052225
-0.8999999999999999,-2.4,2.6041780305494098
-0.7999999999999998,-2.4,2.5317515972069287
-0.6999999999999997,-2.4,2.4516301993528336
-0.5999999999999996,-2.4,2.367367765385103
-0.5,-2.4,2.2817527240764117
-0.3999999999999999,-2.4,2.2009402898072046
-0.2999999999999998,-2.4,2.1304782232252104
-0.19999999999999973,-2.4,2.075576467402957
-0.09999999999999964,-2.4,2.0365747391872198
0.0,-2.4,2.011936484515384
0.10000000000000009,-2.4,1.9970158286292035
0.20000000000000018,-2.4,1.9884694533686929
0.30000000000000027,-2.4,1.9837483142257373
0.40000000000000036,-2.4,1.9813801665618997
0.5,-2.4,1.9804031551763468
0.6000000000000001,-2.4,1.9802878349191675
0.7000000000000002,-2.4,1.9807550358292645
0.8000000000000003,-2.4,1.9814545164389488
0.9000000000000004,-2.4,1.9823885850922056
1.0,-2.4,1.983373702287908
1.1000000000000005,-2.4,1.9843681364720271
1.2000000000000002,-2.4,1.9854085407454785
1.2999999999999998,-2.4,1.986368189901627
1.4000000000000004,-2.4,1.9873112122220875
1.5,-2.4,1.9882179657803727
1.6000000000000005,-2.4,1.9890371391935127
1.7000000000000002,-2.4,1.989833608380727
1.8000000000000007,-2.4,1.990579975724426
1.9000000000000004,-2.4,1.9912491544510271
2.0,-2.4,1.991896116579598
2.1000000000000005,-2.4,1.9924976665804552
2.2,-2.4,1.9930353662418334
2.3000000000000007,-2.4,1.993553352050917
2.4000000000000004,-2.4,1.9940342011917158
