enzyme_target_ratio,G_over_K,total_fraction_lambda1,total_fraction_lambda4,gap,rigorous_pairwise_bound
1.258925411794167559e-01,7.071067811865474617e+00,6.781482260630409264e-01,6.748968482388233436e-01,3.251377824217582813e-03,1.258925411794167559e-01
1.258925411794167559e-01,7.797569463168178672e+00,6.418618311109481889e-01,6.390853176759431209e-01,2.776513435005067976e-03,1.258925411794167559e-01
1.258925411794167559e-01,8.598713963809681005e+00,6.043045532197343084e-01,6.019703774232983973e-01,2.334175796435911110e-03,1.258925411794167559e-01
1.258925411794167559e-01,9.482170332776291843e+00,5.659443283967277027e-01,5.640067691696412089e-01,1.937559227086493863e-03,1.258925411794167559e-01
1.258925411794167559e-01,1.045639552591272725e+01,5.273245926830679720e-01,5.257321577141294000e-01,1.592434968938571949e-03,1.258925411794167559e-01
1.258925411794167559e-01,1.153071539079968311e+01,4.890343597855955626e-01,4.877352017661127359e-01,1.299158019482826720e-03,1.258925411794167559e-01
1.258925411794167559e-01,1.271541393916609408e+01,4.516687647872851818e-01,4.506141917626644844e-01,1.054573024620697463e-03,1.258925411794167559e-01
1.258925411794167559e-01,1.402183179140337721e+01,4.157865167632773251e-01,4.149329409175841477e-01,8.535758456931774596e-04,1.258925411794167559e-01
1.258925411794167559e-01,1.546247473554957885e+01,3.818713689074034745e-01,3.811811090898011845e-01,6.902598176022900489e-04,1.258925411794167559e-01
1.258925411794167559e-01,1.705113343993265929e+01,3.503035051670970734e-01,3.497448280549610433e-01,5.586771121360301073e-04,1.258925411794167559e-01
1.258925411794167559e-01,1.880301546543196523e+01,3.213441836622381031e-01,3.208908929341460214e-01,4.532907280920817072e-04,1.258925411794167559e-01
1.258925411794167559e-01,2.073489084105543157e+01,2.951339956718646018e-01,2.947647939136556761e-01,3.692017582089257566e-04,1.258925411794167559e-01
1.258925411794167559e-01,2.286525259636630025e+01,2.717026017324226661e-01,2.714003746844744769e-01,3.022270479481892203e-04,1.258925411794167559e-01
1.258925411794167559e-01,2.521449378746882530e+01,2.509863436994447805e-01,2.507374578142294586e-01,2.488858852153219559e-04,1.258925411794167559e-01
1.258925411794167559e-01,2.780510271114779997e+01,2.328497911240024754e-01,2.326434535797761716e-01,2.063375442263037929e-04,1.258925411794167559e-01
1.258925411794167559e-01,3.066187817586519060e+01,2.171077985628043217e-01,2.169355012337627897e-01,1.722973290415319436e-04,1.258925411794167559e-01
1.258925411794167559e-01,3.381216689031207068e+01,2.035456205753174985e-01,2.034006725226022994e-01,1.449480527151991716e-04,1.258925411794167559e-01
1.258925411794167559e-01,3.728612524193668776e+01,1.919356827918633213e-01,1.918128263830485847e-01,1.228564088147365840e-04,1.258925411794167559e-01
1.258925411794167559e-01,4.111700797134443519e+01,1.820504991504877657e-01,1.819456003486080442e-01,1.048988018797214483e-04,1.258925411794167559e-01
1.258925411794167559e-01,4.534148650592767638e+01,1.736718544256299623e-01,1.735816562190800605e-01,9.019820654990184927e-05,1.258925411794167559e-01
1.258925411794167559e-01,5.000000000000000000e+01,1.665967364646089299e-01,1.665186645414981903e-01,7.807192311073962721e-05,1.258925411794167559e-01
1.584893192461114264e-01,2.000000000000000042e-02,9.989876023180996878e-01,9.989900737739232373e-01,2.471455823549462139e-06,1.584893192461114264e-01
1.584893192461114264e-01,2.205485697671746848e-02,9.989826910196768495e-01,9.989854250845591199e-01,2.734064882270459407e-06,1.584893192461114264e-01
