G_over_K,bound_exchange_rate,lambda,free_modified_fraction,total_modified_fraction,no_exchange_free_fraction,residual
3.000000000000000000e+00,5.623413251903490971e-03,1.000000000000000000e+00,9.302740733088821212e-01,9.117596879232734430e-01,9.315137935657242796e-01,1.306463617845032843e-17
3.000000000000000000e+00,5.623413251903490971e-03,4.000000000000000000e+00,9.302978331501713383e-01,9.084724195497779764e-01,9.315137935657243906e-01,8.374885800046388828e-16
3.000000000000000000e+00,1.000000000000000021e-02,1.000000000000000000e+00,9.296297225847279799e-01,9.119565900611608100e-01,9.315137935657242796e-01,1.897353801849632760e-18
3.000000000000000000e+00,1.000000000000000021e-02,4.000000000000000000e+00,9.296570442841369797e-01,9.080272981477687244e-01,9.315137935657243906e-01,4.576823945875996280e-15
3.000000000000000000e+00,1.778279410038922925e-02,1.000000000000000000e+00,9.288984526381224294e-01,9.125808065711125128e-01,9.315137935657242796e-01,2.471980953266950110e-17
3.000000000000000000e+00,1.778279410038922925e-02,4.000000000000000000e+00,9.288916782384036841e-01,9.076276228510513633e-01,9.315137935657243906e-01,1.136318415664167025e-14
3.000000000000000000e+00,3.162277660168379134e-02,1.000000000000000000e+00,9.282099863617586655e-01,9.138260017197341600e-01,9.315137935657242796e-01,3.089976191583687637e-18
3.000000000000000000e+00,3.162277660168379134e-02,4.000000000000000000e+00,9.280827277048475654e-01,9.075332860222213860e-01,9.315137935657243906e-01,2.164338586824188226e-17
3.000000000000000000e+00,5.623413251903491145e-02,1.000000000000000000e+00,9.276752858763009923e-01,9.156363792308935823e-01,9.315137935657242796e-01,1.011018525842732885e-17
3.000000000000000000e+00,5.623413251903491145e-02,4.000000000000000000e+00,9.273572080759534542e-01,9.080989735432537513e-01,9.315137935657243906e-01,2.228035464457711612e-17
3.000000000000000000e+00,1.000000000000000056e-01,1.000000000000000000e+00,9.273228646883645565e-01,9.176552088383173045e-01,9.315137935657242796e-01,1.572093150103981429e-17
3.000000000000000000e+00,1.000000000000000056e-01,4.000000000000000000e+00,9.268458664701642036e-01,9.096074037015601244e-01,9.315137935657243906e-01,6.366028581020199972e-16
3.000000000000000000e+00,1.778279410038922925e-01,1.000000000000000000e+00,9.271150451821023042e-01,9.194655167165737275e-01,9.315137935657242796e-01,7.887570804832044757e-18
3.000000000000000000e+00,1.778279410038922925e-01,4.000000000000000000e+00,9.265962798723934579e-01,9.119844640501082456e-01,9.315137935657243906e-01,4.531185810677934578e-16
3.000000000000000000e+00,3.162277660168379412e-01,1.000000000000000000e+00,9.269992262987120091e-01,9.208410517313696531e-01,9.315137935657242796e-01,1.282069068964108993e-17
3.000000000000000000e+00,3.162277660168379412e-01,4.000000000000000000e+00,9.265448887389515775e-01,9.147319112999419133e-01,9.315137935657243906e-01,3.207628390330952151e-14
3.000000000000000000e+00,5.623413251903490728e-01,1.000000000000000000e+00,9.269358209766201950e-01,9.217721613192415564e-01,9.315137935657242796e-01,1.582935171828836474e-17
3.000000000000000000e+00,5.623413251903490728e-01,4.000000000000000000e+00,9.265876530226833108e-01,9.172505869530824807e-01,9.315137935657243906e-01,3.114370740464611487e-17
3.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.269010699514860230e-01,9.223568919631399687e-01,9.315137935657242796e-01,1.711274893491376847e-14
3.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,9.266508774711618157e-01,9.191939867434387734e-01,9.315137935657243906e-01,6.009190541000908325e-17
3.000000000000000000e+00,1.778279410038922759e+00,1.000000000000000000e+00,9.268818930534892253e-01,9.227075391109906821e-01,9.315137935657242796e-01,1.295621596120177799e-17
3.000000000000000000e+00,1.778279410038922759e+00,4.000000000000000000e+00,9.267035716995184469e-01,9.205233592393625708e-01,9.315137935657243906e-01,2.612927235690065686e-17
3.000000000000000000e+00,3.162277660168379523e+00,1.000000000000000000e+00,9.268712404055063914e-01,9.229121311539090211e-01,9.315137935657242796e-01,2.141299290658871257e-17
3.000000000000000000e+00,3.162277660168379523e+00,4.000000000000000000e+00,9.267397588719736845e-01,9.213638687353672418e-01,9.315137935657243906e-01,4.933119884809045175e-17
3.000000000000000000e+00,5.623413251903491172e+00,1.000000000000000000e+00,9.268652945328369475e-01,9.230296215157541839e-01,9.315137935657242796e-01,1.620882247865829129e-17
3.000000000000000000e+00,5.623413251903491172e+00,4.000000000000000000e+00,9.267624217295256095e-01,9.218699996618808790e-01,9.315137935657243906e-01,3.350184712980208701e-17
3.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+00,9.268619655710350624e-01,9.230964807414925311e-01,9.315137935657242796e-01,1.047610349164118659e-16
