eta,G_uM,fixed_free_GS_gap,closed_GS_gap,RHS
0.0001,4598.632978267703,2.1973663888452677e-08,6.458783956553305e-07,5.134781488891349e-16
0.0001,5371.591767636877,1.54717713085617e-08,4.744853073779254e-07,3.0531133177191805e-16
0.0001,6274.472925867966,1.1016625833804028e-08,3.477269998608534e-07,8.465450562766819e-16
0.0001,7329.114385542688,7.910650690057253e-09,2.5363289613000717e-07,5.342948306008566e-16
0.0001,8561.024696578494,5.715826589813844e-09,1.8378615773695373e-07,6.591949208711867e-16
0.0001,10000.0,4.148768217859811e-09,1.3211007954261333e-07,6.38378239159465e-16
0.0001623776739188721,20.0,6.587721343366722e-11,6.635829174561972e-11,6.938893903907228e-18
0.0001623776739188721,23.361689410840295,1.0746140338257354e-10,1.0860037473253356e-10,6.938893903907228e-18
0.0001623776739188721,27.288426606428374,1.8442819962730984e-10,1.8709364713411815e-10,6.938893903907228e-18
0.0001623776739188721,31.87518734449451,3.322528774460029e-10,3.385510126635658e-10,1.3877787807814457e-17
0.0001623776739188721,37.23291133272139,6.261276232731594e-10,6.412877115186816e-10,6.938893903907228e-18
0.0001623776739188721,43.49118552081964,1.2288602889171801e-09,1.2661333234566426e-09,1.0408340855860843e-17
0.0001623776739188721,50.80137841233114,2.4993467408543357e-09,2.5928467008531388e-09,1.0408340855860843e-17
0.0001623776739188721,59.34030120557235,5.2401321653161234e-09,5.478479797582907e-09,3.469446951953614e-18
0.0001623776739188721,69.31448431551465,1.1264548737581828e-08,1.187748011359166e-08,6.938893903907228e-18
0.0001623776739188721,80.9651727125807,2.46949073205412e-08,2.6264491409977615e-08,6.938893903907228e-18
0.0001623776739188721,94.5741609003176,5.4915174829564886e-08,5.8817460970271573e-08,6.938893903907228e-18
0.0001623776739188721,110.47060866220276,1.2319647413241291e-07,1.320766999731056e-07,6.938893903907228e-18
0.0001623776739188721,129.0390024296432,2.772201654361456e-07,2.924928347749871e-07,7.37257477290143e-18
0.0001623776739188721,150.72845483229952,6.217095685949817e-07,6.188929376322282e-07,7.806255641895632e-18
0.0001623776739188721,176.06356735840254,1.3789598882945134e-06,1.1740817056774336e-06,1.3877787807814457e-17
0.0001623776739188721,205.65711885957793,2.9946246216036587e-06,1.7590403792663856e-06,3.122502256758253e-17
0.0001623776739188721,240.22488679628626,6.275009076666532e-06,1.6115012563683306e-06,4.5102810375396984e-17
0.0001623776739188721,280.60295970445543,1.2398258400582451e-05,4.773826899132083e-07,9.020562075079397e-17
0.0001623776739188721,327.76795961890105,2.2252446499407275e-05,8.005238824188021e-07,7.28583859910259e-17
0.0001623776739188721,382.86066357208045,3.430071942681079e-05,4.781993860863976e-06,6.591949208711867e-17
0.0001623776739188721,447.213595499958,4.246651355160891e-05,8.440062002235127e-06,7.849623728795052e-17
0.0001623776739188721,522.3832559187591,4.0327883625623784e-05,5.445739423792784e-06,6.765421556309548e-17
0.0001623776739188721,610.1877689098774,2.971313435007339e-05,2.973996045319005e-06,7.762887554996212e-17
0.0001623776739188721,712.7508569783073,1.8139392408800248e-05,1.0243618452698833e-05,2.5934115965853266e-16
0.0001623776739188721,832.5532074018732,9.943227246567155e-06,1.314654534756432e-05,1.6653345369377348e-16
