G_uM,epsilon,direct,J,PII_TV,GS_total_gap,GS_free_gap,GS_bound,GS_condition_bound
50.80137841233114,0.8,0.0,0.0,0.0011519614072653,9.196479146491267e-10,8.470329472543003e-22,0.1,0.1
59.34030120557235,0.0001,0.0,0.0,1.8415276268262706e-07,8.720034785393571e-17,1.6940658945086007e-21,1.25e-05,1.25e-05
59.34030120557235,0.00014542154334489538,0.0,0.0,2.6779668622322203e-07,1.2380572370247755e-16,0.0,1.8177692918111922e-05,1.8177692918111922e-05
59.34030120557235,0.00021147425268811283,0.0,0.0,3.894317394575535e-07,1.736857999003888e-16,0.0,2.6434281586014103e-05,2.6434281586014103e-05
59.34030120557235,0.00030752912203613756,0.0,0.0,5.663127091195467e-07,2.3913095353704505e-16,0.0,3.8441140254517195e-05,3.8441140254517195e-05
59.34030120557235,0.00044721359549995795,0.0,0.0,8.235302397844693e-07,3.1931617452182065e-16,0.0,5.5901699437494744e-05,5.5901699437494744e-05
59.34030120557235,0.0006503449126242365,0.0,0.0,1.1975682986433643e-06,4.0416854704596744e-16,0.0,8.129311407802956e-05,8.129311407802956e-05
59.34030120557235,0.000945741609003176,0.0,0.0,1.741475580411805e-06,4.603369958442946e-16,0.0,0.000118217701125397,0.000118217701125397
59.34030120557235,0.0013753120438672643,0.0,0.0,2.5323818201358313e-06,3.996521673712075e-16,0.0,0.00017191400548340803,0.00017191400548340803
59.34030120557235,0.0020000000000000005,0.0,0.0,3.682419556180661e-06,9.471522416197586e-18,1.6940658945086007e-21,0.00025000000000000006,0.00025000000000000006
59.34030120557235,0.0029084308668979077,0.0,0.0,5.354588593822953e-06,1.198868410687108e-15,0.0,0.00036355385836223846,0.00036355385836223846
