eta,direct,J,epsilon,G_uM,total_GS_gap,bound
1,1,0.4,0.01,190.0168620844211,4.3019778046414665e-09,0.031391874289600635
1,1,0.4,0.01,235.35468936502514,1.015211226293878e-08,0.031391874289600635
1,1,0.4,0.01,291.51007546634406,1.9320343663678866e-08,0.031391874289600635
1,1,0.4,0.01,361.06407876409946,2.7038227913556145e-08,0.031391874289600635
1,1,0.4,0.01,447.213595499958,1.0217730042200168e-05,0.031391874289600635
1,1,0.4,0.01,553.9182980610753,8.726907908540582e-07,0.031391874289600635
1,1,0.4,0.01,686.0826325815651,1.088705093521547e-06,0.031391874289600635
1,1,0.4,0.01,849.781240983936,1.2171522324466721e-06,0.031391874289600635
1,1,0.4,0.01,1052.5381684870872,1.2667959388146244e-06,0.031391874289600635
1,1,0.4,0.01,1303.672689737678,1.2417846905199426e-06,0.031391874289600635
1,1,0.4,0.01,1614.7276486997293,1.165874914055287e-06,0.031391874289600635
1,1,0.4,0.01,2000.0,1.0666735419384565e-06,0.031391874289600635
1,1,0.4,0.1,100.0,4.770453472097001e-09,0.3184595505148419
1,1,0.4,0.1,123.85989684455544,5.382819182926527e-11,0.3184595505148419
1,1,0.4,0.1,153.41274046343915,1.3381588884610156e-08,0.3184595505148419
1,1,0.4,0.1,190.0168620844211,4.471736665594768e-08,0.3184595505148419
1,1,0.4,0.1,235.35468936502514,1.0750623613922129e-07,0.3184595505148419
1,1,0.4,0.1,291.51007546634406,2.0728097712991583e-07,0.3184595505148419
1,1,0.4,0.1,361.06407876409946,2.962614881639111e-07,0.3184595505148419
1,1,0.4,0.1,447.213595499958,8.311617718576025e-05,0.3184595505148419
1,1,0.4,0.1,553.9182980610753,8.988652355768068e-06,0.3184595505148419
1,1,0.4,0.1,686.0826325815651,1.1300751237786066e-05,0.3184595505148419
1,1,0.4,0.1,849.781240983936,1.2595559795047784e-05,0.3184595505148419
1,1,0.4,0.1,1052.5381684870872,1.3069648377439513e-05,0.3184595505148419
1,1,0.4,0.1,1303.672689737678,1.2776987853291288e-05,0.3184595505148419
1,1,0.4,0.1,1614.7276486997293,1.1968035638743046e-05,0.3184595505148419
1,1,0.4,0.1,2000.0,1.0928115816821737e-05,0.3184595505148419
1,1,0.4,0.8,100.0,3.6048812826154546e-07,1
